EEG_Channel_0,EEG_Channel_1,EEG_Channel_2,EEG_Channel_3,EEG_Channel_4,EEG_Channel_5,EEG_Channel_6,EEG_Channel_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15038.611297441877,2927.9667649229486,4706.2492020427235,2245.702117169156,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15137.42835967879,2861.4256216794997,4592.165898342836,2195.7236165670893,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15260.184140227335,2862.2749879688013,4451.282853041035,2177.0152064579975,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15168.653746682854,2941.824846485239,4552.111572278925,2228.6253844053012,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15036.465529974168,2938.62854702813,4706.4280159983655,2252.3629370168373,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15106.694711052742,2863.99607229186,4627.77222726014,2204.261982949017,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15246.706038320786,2857.4917146553653,4466.571446248466,2177.3281308803716,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15193.397127794879,2929.15140737908,4522.741380064653,2221.9422128131646,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15040.086512575926,2954.8112100137723,4694.201611781313,2259.6496057092677,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15082.152495640816,2881.8104126227395,4652.984995005727,2216.331924954882,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15228.645828800898,2858.5198949003097,4483.514068545588,2179.9879884705533,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15214.765395494152,2919.607212496664,4495.785176251552,2210.1628434852178,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15058.5043500071,2963.1260589511467,4679.292998229623,2260.0742888539185,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15059.107847107392,2900.831747154206,4679.941198818827,2227.798369860455,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15206.741119234697,2859.704537356441,4509.173871180281,2182.513735594003,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15237.050084716093,2904.43037801151,4477.747318476119,2198.606991601824,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15079.537341539544,2961.2261606724455,4656.605977607486,2256.274492296516,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15042.522852721555,2907.1349390906025,4697.308504260601,2234.548596685958,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15180.030784610604,2857.4023076775443,4537.985269783172,2187.699340307634,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15246.594279598508,2894.4167964955327,4461.765821190575,2190.381549642271,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15101.397347616834,2964.4895153629204,4625.224128392235,2249.7254311711113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15028.329494992435,2932.5935760251973,4709.378446266466,2243.4892944680805,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15152.471083697212,2864.7783833477956,4567.668386419819,2190.29214266445,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15252.472788390254,2885.0067120798485,4454.099172842404,2182.0443489604413,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15133.852080565941,2955.593521069708,4593.037616376593,2238.795428132466,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15026.809576369475,2941.176645896035,4713.558222479609,2247.9372916146867,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15124.777272317086,2875.6189794086195,4602.313590325545,2197.802328801433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15252.964526768272,2875.753089875351,4459.910626400784,2175.5176395794915,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15167.200883293259,2946.429305843032,4560.0911450494705,2225.786712859477,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15029.581192681933,2956.7781635258393,4712.0606556011035,2251.401812005259,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15104.437184862756,2879.441127710477,4634.611861063464,2204.574907371391,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15245.655506331386,2865.4712874259103,4471.846457939918,2172.5448575669357,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15192.726575461218,2936.7957039827947,4526.585880110965,2213.7838260869776,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15041.31585852097,2970.524486365853,4697.1520420494135,2252.8993788837647,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15079.760858984097,2895.959066862949,4659.109372986481,2210.386360929771,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15228.735235778719,2863.7725548473068,4490.934847704751,2173.1260029227738,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15219.995703696693,2922.7588084648623,4499.584972808954,2203.5243753819914,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15058.929033151751,2967.305835164289,4677.907190073394,2253.6146347063345,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15056.917376150774,2906.1291105901137,4680.902323830405,2222.1657302577178,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15204.640055255897,2865.5159909148206,4510.827900269974,2178.9821599700645,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15235.619573070953,2911.4488257704766,4478.1496498763145,2195.7236165670893,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15077.682146749754,2974.5254486233534,4653.990823506216,2252.8993788837647,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15038.03015208604,2923.7869887098063,4702.628219440963,2231.888739095776,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15173.369964762924,2873.3167497297227,4545.964842553716,2184.9500757396313,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15243.822663286051,2903.8045291667618,4467.800792193508,2187.8558025188213,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15101.173830172282,2974.704262578996,4629.895642983394,2249.188989304184,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15022.629800156332,2942.7189162634513,4716.240431814245,2243.645756679268,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15145.474987682699,2880.1787352775023,4578.441927247278,2193.5554973549247,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15248.337715666023,2896.920191874527,4462.838704924429,2182.7149012941004,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15129.113510741416,2971.0385764883254,4598.5361455125985,2239.2871665104826,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15022.719207134154,2956.3981838700993,4723.013010384204,2248.9654718596307,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15121.603324604432,2882.90564810105,4610.606087518464,2198.3611224128153,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15244.15793945288,2887.375996992111,4467.085536370938,2179.608008814813,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15161.322374501513,2956.0405559588144,4563.846238117962,2228.8489018498544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15026.586058924922,2963.3495763957,4717.581536481564,2253.502875984058,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
-15096.390556858845,2889.2311917819015,4638.7469337876955,2206.474805650092,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
