Aux_Channel_0,Aux_Channel_1,Aux_Channel_2
359.0,576.0,655.0
354.0,478.0,547.0
343.0,406.0,466.0
329.0,354.0,406.0
317.0,317.0,362.0
306.0,293.0,332.0
294.0,273.0,311.0
282.0,259.0,295.0
271.0,250.0,285.0
265.0,246.0,280.0
258.0,242.0,275.0
252.0,237.0,268.0
248.0,233.0,264.0
245.0,233.0,264.0
243.0,232.0,263.0
240.0,228.0,259.0
237.0,226.0,256.0
237.0,226.0,257.0
236.0,226.0,258.0
235.0,224.0,255.0
233.0,222.0,253.0
233.0,223.0,254.0
234.0,224.0,256.0
232.0,223.0,254.0
231.0,221.0,252.0
231.0,221.0,253.0
232.0,223.0,255.0
231.0,222.0,254.0
230.0,220.0,251.0
230.0,220.0,251.0
231.0,222.0,254.0
231.0,222.0,254.0
230.0,220.0,251.0
229.0,220.0,251.0
230.0,221.0,253.0
231.0,222.0,254.0
230.0,220.0,251.0
229.0,220.0,250.0
230.0,221.0,253.0
231.0,222.0,254.0
230.0,220.0,251.0
229.0,219.0,250.0
230.0,221.0,252.0
230.0,222.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,253.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,254.0
231.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,253.0
231.0,221.0,254.0
229.0,219.0,251.0
229.0,219.0,250.0
230.0,220.0,252.0
230.0,221.0,254.0
230.0,219.0,251.0
229.0,219.0,250.0
230.0,220.0,252.0
230.0,222.0,254.0
229.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,251.0
230.0,221.0,254.0
230.0,220.0,253.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,220.0,253.0
230.0,221.0,254.0
229.0,219.0,251.0
229.0,219.0,250.0
230.0,220.0,253.0
230.0,221.0,254.0
229.0,220.0,251.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,220.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,251.0
229.0,219.0,250.0
230.0,220.0,252.0
230.0,221.0,254.0
229.0,219.0,251.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,254.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,253.0
230.0,221.0,254.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,220.0,252.0
230.0,221.0,254.0
229.0,219.0,251.0
229.0,218.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,218.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,251.0
230.0,221.0,253.0
230.0,220.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,220.0,252.0
230.0,221.0,254.0
229.0,219.0,251.0
229.0,219.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,218.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,251.0
230.0,221.0,253.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,220.0,253.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,220.0,253.0
230.0,221.0,254.0
229.0,219.0,251.0
229.0,218.0,250.0
229.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,218.0,250.0
229.0,220.0,252.0
230.0,221.0,253.0
230.0,220.0,252.0
229.0,218.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,250.0
229.0,219.0,250.0
230.0,221.0,253.0
230.0,221.0,253.0
229.0,219.0,251.0
229.0,218.0,250.0
229.0,220.0,252.0
230.0,221.0,253.0
229.0,219.0,251.0
229.0,218.0,250.0
230.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,251.0
229.0,219.0,250.0
229.0,219.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,251.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,221.0,253.0
230.0,220.0,253.0
229.0,219.0,250.0
229.0,219.0,251.0
230.0,220.0,253.0
230.0,221.0,253.0
229.0,219.0,251.0
229.0,219.0,250.0
230.0,220.0,253.0
230.0,221.0,254.0
229.0,219.0,251.0
229.0,218.0,250.0
230.0,220.0,252.0
230.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,219.0,252.0
231.0,221.0,254.0
230.0,220.0,252.0
229.0,219.0,250.0
229.0,220.0,251.0
