timestamp,event,speed
2025-03-12 15:32:18,right,16
2025-03-12 15:32:21,up,17
2025-03-12 15:32:24,blink,0
2025-03-12 15:32:25,up,20
2025-03-12 15:32:28,blink,0
2025-03-12 15:32:29,up,18
2025-03-12 15:32:32,right,16
2025-03-12 15:32:34,right,16
2025-03-12 15:32:37,right,17
2025-03-12 15:32:39,down,19
2025-03-12 15:32:41,down,19
2025-03-12 15:32:45,blink,0
2025-03-12 15:32:46,up,17
2025-03-12 15:32:49,blink,0
2025-03-12 15:32:50,down,16
2025-03-12 15:32:52,left,17
2025-03-12 15:32:56,blink,0
2025-03-12 15:32:57,right,19
2025-03-12 15:32:59,up,20
2025-03-12 15:33:01,up,20
2025-03-12 15:33:03,up,20
2025-03-12 15:33:06,right,19
2025-03-12 15:33:08,down,16
2025-03-12 15:33:10,up,16
2025-03-12 15:33:13,up,16
2025-03-12 15:33:15,up,18
2025-03-12 15:33:18,left,16
2025-03-12 15:33:20,right,20
2025-03-12 15:33:22,left,15
2025-03-12 15:33:25,left,18
2025-03-12 15:33:27,left,18
2025-03-12 15:33:29,left,20
2025-03-12 15:33:32,down,16
2025-03-12 15:33:35,blink,0
2025-03-12 15:33:36,right,15
2025-03-12 15:33:39,right,18
2025-03-12 15:33:41,right,16
2025-03-12 15:33:43,down,19
2025-03-12 15:33:47,blink,0
2025-03-12 15:33:48,down,16
2025-03-12 15:33:50,left,16
2025-03-12 15:33:53,left,20
2025-03-12 15:33:55,down,17
2025-03-12 15:33:57,down,20
2025-03-12 15:33:59,down,17
2025-03-12 15:34:02,left,16
2025-03-12 15:34:04,left,19
