timestamp,event,speed
2025-03-20 23:08:05,left,19
2025-03-20 23:08:07,right,19
2025-03-20 23:08:09,right,19
2025-03-20 23:08:11,right,16
2025-03-20 23:08:14,up,15
2025-03-20 23:08:17,blink,0
2025-03-20 23:08:19,blink,0
2025-03-20 23:08:20,down,19
2025-03-20 23:08:23,blink,0
2025-03-20 23:08:24,down,16
2025-03-20 23:08:26,down,20
2025-03-20 23:08:28,down,17
2025-03-20 23:08:30,right,19
2025-03-20 23:08:32,left,16
2025-03-20 23:08:35,down,17
2025-03-20 23:08:37,up,17
2025-03-20 23:08:40,blink,0
2025-03-20 23:08:41,left,20
2025-03-20 23:08:43,down,18
2025-03-20 23:08:45,down,18
2025-03-20 23:08:47,down,20
2025-03-20 23:08:49,left,19
2025-03-20 23:08:51,up,18
2025-03-20 23:08:53,up,19
2025-03-20 23:08:55,left,20
2025-03-20 23:08:57,up,18
2025-03-20 23:08:59,down,16
2025-03-20 23:09:02,right,20
2025-03-20 23:09:04,left,17
2025-03-20 23:09:07,blink,0
2025-03-20 23:09:09,blink,0
2025-03-20 23:09:10,left,16
2025-03-20 23:09:12,up,15
2025-03-20 23:09:14,right,17
2025-03-20 23:09:17,blink,0
2025-03-20 23:09:18,left,17
2025-03-20 23:09:21,blink,0
2025-03-20 23:09:22,right,18
2025-03-20 23:09:25,blink,0
2025-03-20 23:09:27,blink,0
2025-03-20 23:09:28,left,18
2025-03-20 23:09:30,up,19
2025-03-20 23:09:32,up,16
2025-03-20 23:09:35,up,19
2025-03-20 23:09:37,right,16
2025-03-20 23:09:39,left,15
2025-03-20 23:09:41,right,20
2025-03-20 23:09:43,down,17
2025-03-20 23:09:45,up,15
2025-03-20 23:09:48,right,20
