timestamp,event,speed
2025-03-12 15:52:01,left,15
2025-03-12 15:52:04,down,16
2025-03-12 15:52:07,blink,0
2025-03-12 15:52:09,blink,0
2025-03-12 15:52:10,down,16
2025-03-12 15:52:13,down,17
2025-03-12 15:52:16,blink,0
2025-03-12 15:52:17,down,15
2025-03-12 15:52:20,right,16
2025-03-12 15:52:22,right,16
2025-03-12 15:52:26,blink,0
2025-03-12 15:52:27,right,15
2025-03-12 15:52:29,down,20
2025-03-12 15:52:32,right,19
2025-03-12 15:52:34,up,20
2025-03-12 15:52:36,up,18
2025-03-12 15:52:39,blink,0
2025-03-12 15:52:40,right,19
2025-03-12 15:52:43,right,19
2025-03-12 15:52:45,down,15
2025-03-12 15:52:48,blink,0
2025-03-12 15:52:49,up,15
2025-03-12 15:52:53,blink,0
2025-03-12 15:52:54,left,19
2025-03-12 15:52:56,up,19
2025-03-12 15:52:58,left,18
2025-03-12 15:53:02,blink,0
2025-03-12 15:53:03,up,15
2025-03-12 15:53:05,right,19
2025-03-12 15:53:07,left,18
2025-03-12 15:53:10,down,19
2025-03-12 15:53:12,right,17
2025-03-12 15:53:15,blink,0
2025-03-12 15:53:16,right,15
2025-03-12 15:53:20,blink,0
2025-03-12 15:53:21,down,18
2025-03-12 15:53:23,up,15
2025-03-12 15:53:26,up,17
2025-03-12 15:53:28,left,16
2025-03-12 15:53:31,left,19
2025-03-12 15:53:33,right,20
2025-03-12 15:53:35,up,18
2025-03-12 15:53:37,left,18
2025-03-12 15:53:40,left,15
2025-03-12 15:53:42,down,18
2025-03-12 15:53:45,down,19
2025-03-12 15:53:47,left,17
2025-03-12 15:53:49,up,20
2025-03-12 15:53:51,up,20
2025-03-12 15:53:54,left,19
